Key,English,Russian
tutorial_header,TUTORIAL,Обучение
tutorial_1,Make target number of push-ups,Выполните указанное количество отжиманий
tutorial_2,"If you made more or less push-ups, adjust number with these buttons","Если не справились или перестарались, поменяйте количество"
tutorial_3,Confirm number of made push-ups by pressing DONE,После выполнения нажмите кнопку ГОТОВО
tutorial_4,Make all approaches in training,Выполните все подходы в тренировке
tutorial_nextButton,Next,Далее
tutorial_endButton,Start!,Начнем!
